============================================================
  RUNG 5: GPT-2 WITH GENOME-CONTROLLED CONNECTIVITY
  354 parameters grow GPT-2.
============================================================
  Config: full
  Device: cuda
  Dtype: bfloat16
  Layers: 12, Hidden: 768, FF: 3072
  Block size: 1024, Batch: 12
  Grad accum: 40
  Tokens/iter: 491,520
  Max iters: 100,000
  Dataset: openwebtext

============================================================
  Training: genome
============================================================
  Genome params: 354
  Total params: 124,430,946
  Compiling model with torch.compile...
  iter      0 | train 11.2538 | val 11.2518 | lr 0.00e+00 | 14700 tok/s | hard=0.0% soft=3.7% temp=1.0
  iter    100 | train 7.9949 | val 7.9864 | lr 3.00e-05 | 107400 tok/s | hard=55.7% soft=52.1% temp=1.0 sp=12.4309
  iter    200 | train 6.6241 | val 6.6367 | lr 6.00e-05 | 115039 tok/s | hard=83.3% soft=79.3% temp=1.0 sp=28.4562
  iter    300 | train 6.1586 | val 6.1772 | lr 9.00e-05 | 117789 tok/s | hard=83.3% soft=81.1% temp=1.1 sp=32.0620
  iter    400 | train 5.9024 | val 5.8870 | lr 1.20e-04 | 119195 tok/s | hard=80.7% soft=81.3% temp=1.1 sp=32.3560
  iter    500 | train 5.6290 | val 5.6217 | lr 1.50e-04 | 120069 tok/s | hard=75.2% soft=80.7% temp=1.1 sp=32.3090
  iter    600 | train 5.3946 | val 5.3872 | lr 1.80e-04 | 120662 tok/s | hard=75.0% soft=79.4% temp=1.1 sp=32.0066
  iter    700 | train 5.1579 | val 5.1679 | lr 2.10e-04 | 121124 tok/s | hard=74.9% soft=77.8% temp=1.1 sp=31.5141
  iter    800 | train 4.9504 | val 4.9513 | lr 2.40e-04 | 121437 tok/s | hard=66.7% soft=76.0% temp=1.1 sp=30.9448
  iter    900 | train 4.7452 | val 4.7541 | lr 2.70e-04 | 121712 tok/s | hard=66.7% soft=74.0% temp=1.2 sp=30.2814
  iter   1000 | train 4.5169 | val 4.5143 | lr 3.00e-04 | 121925 tok/s | hard=66.7% soft=73.0% temp=1.2 sp=29.7613
  iter   1100 | train 4.3767 | val 4.3583 | lr 3.30e-04 | 122110 tok/s | hard=66.7% soft=72.1% temp=1.2 sp=29.4119
  iter   1200 | train 4.2620 | val 4.2473 | lr 3.60e-04 | 122261 tok/s | hard=66.7% soft=71.5% temp=1.2 sp=29.1592
  iter   1300 | train 4.1676 | val 4.1746 | lr 3.90e-04 | 122387 tok/s | hard=66.7% soft=71.0% temp=1.2 sp=28.9733
  iter   1400 | train 4.0750 | val 4.0793 | lr 4.20e-04 | 122474 tok/s | hard=66.7% soft=70.6% temp=1.3 sp=28.8184
  iter   1500 | train 4.0257 | val 3.9993 | lr 4.50e-04 | 122563 tok/s | hard=66.7% soft=70.3% temp=1.3 sp=28.6973
  iter   1600 | train 3.9545 | val 3.9663 | lr 4.80e-04 | 122637 tok/s | hard=66.7% soft=70.1% temp=1.3 sp=28.6008
  iter   1700 | train 3.9551 | val 3.9177 | lr 5.10e-04 | 122717 tok/s | hard=66.7% soft=69.7% temp=1.3 sp=28.4777
  iter   1800 | train 3.8741 | val 3.8742 | lr 5.40e-04 | 122769 tok/s | hard=66.7% soft=69.6% temp=1.3 sp=28.4307
  iter   1900 | train 3.8429 | val 3.8532 | lr 5.70e-04 | 122824 tok/s | hard=66.7% soft=69.5% temp=1.3 sp=28.3720
  iter   2000 | train 3.7974 | val 3.8062 | lr 6.00e-04 | 122876 tok/s | hard=66.7% soft=69.4% temp=1.4 sp=28.3083
  iter   2100 | train 3.7690 | val 3.7575 | lr 6.00e-04 | 122925 tok/s | hard=66.7% soft=69.3% temp=1.4 sp=28.2500
  iter   2200 | train 3.7523 | val 3.7505 | lr 6.00e-04 | 122967 tok/s | hard=66.7% soft=69.2% temp=1.4 sp=28.1756
  iter   2300 | train 3.6982 | val 3.6973 | lr 6.00e-04 | 123002 tok/s | hard=66.7% soft=69.1% temp=1.4 sp=28.1485
  iter   2400 | train 3.6701 | val 3.6632 | lr 6.00e-04 | 123037 tok/s | hard=66.7% soft=69.0% temp=1.4 sp=28.1027
  iter   2500 | train 3.6461 | val 3.6445 | lr 6.00e-04 | 123067 tok/s | hard=66.7% soft=68.9% temp=1.5 sp=28.0321
  iter   2600 | train 3.6361 | val 3.6342 | lr 6.00e-04 | 123095 tok/s | hard=66.7% soft=68.7% temp=1.5 sp=27.8512
  iter   2700 | train 3.6096 | val 3.5987 | lr 6.00e-04 | 123120 tok/s | hard=66.7% soft=68.2% temp=1.5 sp=27.4469
  iter   2800 | train 3.5842 | val 3.5764 | lr 6.00e-04 | 123140 tok/s | hard=66.7% soft=67.9% temp=1.5 sp=27.0596
  iter   2900 | train 3.5631 | val 3.5899 | lr 6.00e-04 | 123161 tok/s | hard=66.7% soft=67.7% temp=1.5 sp=26.7629
  iter   3000 | train 3.5725 | val 3.5597 | lr 6.00e-04 | 123203 tok/s | hard=66.7% soft=67.1% temp=1.5 sp=26.4559
  iter   3100 | train 3.5442 | val 3.5436 | lr 6.00e-04 | 123223 tok/s | hard=66.7% soft=66.6% temp=1.6 sp=26.0756
  iter   3200 | train 3.5389 | val 3.5174 | lr 6.00e-04 | 123243 tok/s | hard=66.7% soft=66.3% temp=1.6 sp=25.7708
  iter   3300 | train 3.5138 | val 3.5294 | lr 6.00e-04 | 123258 tok/s | hard=66.7% soft=65.9% temp=1.6 sp=25.5214
  iter   3400 | train 3.5211 | val 3.5015 | lr 6.00e-04 | 123295 tok/s | hard=66.7% soft=65.7% temp=1.6 sp=25.2708
  iter   3500 | train 3.4971 | val 3.5029 | lr 6.00e-04 | 123313 tok/s | hard=66.7% soft=65.4% temp=1.6 sp=25.0963
  iter   3600 | train 3.4935 | val 3.4956 | lr 6.00e-04 | 123344 tok/s | hard=66.7% soft=65.1% temp=1.6 sp=24.9108
  iter   3700 | train 3.4928 | val 3.4958 | lr 6.00e-04 | 123358 tok/s | hard=66.7% soft=64.9% temp=1.7 sp=24.7477
  iter   3800 | train 3.4793 | val 3.4616 | lr 6.00e-04 | 123390 tok/s | hard=66.7% soft=64.6% temp=1.7 sp=24.5647
  iter   3900 | train 3.4435 | val 3.4575 | lr 5.99e-04 | 123402 tok/s | hard=66.7% soft=64.8% temp=1.7 sp=24.4518
  iter   4000 | train 3.4422 | val 3.4546 | lr 5.99e-04 | 123413 tok/s | hard=66.7% soft=64.1% temp=1.7 sp=24.2878
  iter   4100 | train 3.4384 | val 3.4485 | lr 5.99e-04 | 123421 tok/s | hard=66.7% soft=64.1% temp=1.7 sp=24.1213
  iter   4200 | train 3.4394 | val 3.4311 | lr 5.99e-04 | 123432 tok/s | hard=66.7% soft=64.2% temp=1.8 sp=24.0665
  iter   4300 | train 3.4247 | val 3.4336 | lr 5.99e-04 | 123442 tok/s | hard=66.7% soft=63.8% temp=1.8 sp=23.9894
  iter   4400 | train 3.4262 | val 3.4246 | lr 5.99e-04 | 123463 tok/s | hard=66.7% soft=63.6% temp=1.8 sp=23.8755
  iter   4500 | train 3.4137 | val 3.3991 | lr 5.99e-04 | 123470 tok/s | hard=66.7% soft=63.6% temp=1.8 sp=23.7280
  iter   4600 | train 3.3978 | val 3.4059 | lr 5.99e-04 | 123479 tok/s | hard=66.7% soft=63.4% temp=1.8 sp=23.6187
  iter   4700 | train 3.4020 | val 3.4120 | lr 5.99e-04 | 123501 tok/s | hard=66.7% soft=63.3% temp=1.8 sp=23.5335
  iter   4800 | train 3.4024 | val 3.3956 | lr 5.99e-04 | 123520 tok/s | hard=66.7% soft=63.0% temp=1.9 sp=23.4370
  iter   4900 | train 3.3855 | val 3.3837 | lr 5.99e-04 | 123526 tok/s | hard=66.7% soft=63.1% temp=1.9 sp=23.3906
  iter   5000 | train 3.3902 | val 3.3881 | lr 5.99e-04 | 123532 tok/s | hard=66.7% soft=63.2% temp=1.9 sp=23.3047
  iter   5100 | train 3.3791 | val 3.3882 | lr 5.99e-04 | 123553 tok/s | hard=66.7% soft=63.0% temp=1.9 sp=23.2355
  iter   5200 | train 3.3621 | val 3.3653 | lr 5.99e-04 | 123572 tok/s | hard=66.7% soft=62.8% temp=1.9 sp=23.1984
  iter   5300 | train 3.3809 | val 3.3875 | lr 5.98e-04 | 123578 tok/s | hard=66.7% soft=62.8% temp=2.0 sp=23.1294
  iter   5400 | train 3.3564 | val 3.3658 | lr 5.98e-04 | 123596 tok/s | hard=66.7% soft=62.6% temp=2.0 sp=23.0639
  iter   5500 | train 3.3536 | val 3.3696 | lr 5.98e-04 | 123614 tok/s | hard=66.7% soft=62.6% temp=2.0 sp=23.0151
  iter   5600 | train 3.3400 | val 3.3501 | lr 5.98e-04 | 123631 tok/s | hard=66.7% soft=62.5% temp=2.0 sp=22.9922
  iter   5700 | train 3.3441 | val 3.3387 | lr 5.98e-04 | 123635 tok/s | hard=66.7% soft=62.6% temp=2.0 sp=22.9483
  iter   5800 | train 3.3462 | val 3.3429 | lr 5.98e-04 | 123640 tok/s | hard=66.7% soft=62.3% temp=2.0 sp=22.9230
  iter   5900 | train 3.3563 | val 3.3424 | lr 5.98e-04 | 123654 tok/s | hard=66.7% soft=62.5% temp=2.1 sp=22.8828
  iter   6000 | train 3.3326 | val 3.3411 | lr 5.98e-04 | 123669 tok/s | hard=66.7% soft=62.5% temp=2.1 sp=22.8672
  iter   6100 | train 3.3351 | val 3.3361 | lr 5.98e-04 | 123683 tok/s | hard=66.7% soft=62.4% temp=2.1 sp=22.8195
  iter   6200 | train 3.3205 | val 3.3378 | lr 5.98e-04 | 123687 tok/s | hard=66.7% soft=62.2% temp=2.1 sp=22.7984
  iter   6300 | train 3.3250 | val 3.3323 | lr 5.97e-04 | 123699 tok/s | hard=66.7% soft=62.4% temp=2.1 sp=22.7647
  iter   6400 | train 3.3300 | val 3.3198 | lr 5.97e-04 | 123701 tok/s | hard=66.7% soft=62.3% temp=2.2 sp=22.7659
  iter   6500 | train 3.3317 | val 3.3383 | lr 5.97e-04 | 123702 tok/s | hard=66.7% soft=62.4% temp=2.2 sp=22.7592
  iter   6600 | train 3.3246 | val 3.3070 | lr 5.97e-04 | 123714 tok/s | hard=66.7% soft=62.4% temp=2.2 sp=22.7152
  iter   6700 | train 3.2969 | val 3.3326 | lr 5.97e-04 | 123716 tok/s | hard=66.7% soft=62.3% temp=2.2 sp=22.7020
  iter   6800 | train 3.3000 | val 3.3227 | lr 5.97e-04 | 123726 tok/s | hard=66.7% soft=62.4% temp=2.2 sp=22.6842
  iter   6900 | train 3.3068 | val 3.3122 | lr 5.97e-04 | 123739 tok/s | hard=66.7% soft=62.2% temp=2.2 sp=22.6872
  iter   7000 | train 3.3049 | val 3.3185 | lr 5.97e-04 | 123750 tok/s | hard=66.7% soft=62.2% temp=2.3 sp=22.6348
  iter   7100 | train 3.3112 | val 3.3226 | lr 5.96e-04 | 123760 tok/s | hard=66.7% soft=62.5% temp=2.3 sp=22.6621
  iter   7200 | train 3.3027 | val 3.3087 | lr 5.96e-04 | 123771 tok/s | hard=66.7% soft=62.4% temp=2.3 sp=22.6437
  iter   7300 | train 3.3021 | val 3.3078 | lr 5.96e-04 | 123782 tok/s | hard=66.7% soft=62.3% temp=2.3 sp=22.6586
  iter   7400 | train 3.2878 | val 3.2941 | lr 5.96e-04 | 123792 tok/s | hard=66.7% soft=62.2% temp=2.3 sp=22.6334
  iter   7500 | train 3.2973 | val 3.2990 | lr 5.96e-04 | 123791 tok/s | hard=66.7% soft=62.5% temp=2.3 sp=22.5951
  iter   7600 | train 3.2831 | val 3.2928 | lr 5.96e-04 | 123801 tok/s | hard=66.7% soft=62.4% temp=2.4 sp=22.6247
  iter   7700 | train 3.2829 | val 3.3068 | lr 5.96e-04 | 123800 tok/s | hard=66.7% soft=62.6% temp=2.4 sp=22.5964
  iter   7800 | train 3.2805 | val 3.2934 | lr 5.95e-04 | 123811 tok/s | hard=66.7% soft=62.5% temp=2.4 sp=22.5913
  iter   7900 | train 3.2688 | val 3.2763 | lr 5.95e-04 | 123821 tok/s | hard=66.7% soft=62.3% temp=2.4 sp=22.5700
  iter   8000 | train 3.2889 | val 3.2865 | lr 5.95e-04 | 123821 tok/s | hard=66.7% soft=62.5% temp=2.4 sp=22.5647
  iter   8100 | train 3.2737 | val 3.2817 | lr 5.95e-04 | 123830 tok/s | hard=66.7% soft=62.6% temp=2.5 sp=22.6014
  iter   8200 | train 3.2766 | val 3.2722 | lr 5.95e-04 | 123839 tok/s | hard=66.7% soft=62.5% temp=2.5 sp=22.6010
  iter   8300 | train 3.2674 | val 3.2749 | lr 5.95e-04 | 123836 tok/s | hard=66.7% soft=62.6% temp=2.5 sp=22.5882
  iter   8400 | train 3.2577 | val 3.2786 | lr 5.94e-04 | 123843 tok/s | hard=66.7% soft=62.6% temp=2.5 sp=22.5673
  iter   8500 | train 3.2590 | val 3.2938 | lr 5.94e-04 | 123847 tok/s | hard=66.7% soft=62.8% temp=2.5 sp=22.5841
  iter   8600 | train 3.2617 | val 3.2736 | lr 5.94e-04 | 123854 tok/s | hard=66.7% soft=65.0% temp=2.5 sp=22.7861
  iter   8700 | train 3.2428 | val 3.2551 | lr 5.94e-04 | 123859 tok/s | hard=66.7% soft=63.0% temp=2.6 sp=22.9318
  iter   8800 | train 3.2573 | val 3.2749 | lr 5.94e-04 | 123856 tok/s | hard=66.7% soft=62.8% temp=2.6 sp=22.6674
  iter   8900 | train 3.2707 | val 3.2639 | lr 5.93e-04 | 123861 tok/s | hard=66.7% soft=62.7% temp=2.6 sp=22.6272
  iter   9000 | train 3.2449 | val 3.2565 | lr 5.93e-04 | 123866 tok/s | hard=66.7% soft=62.9% temp=2.6 sp=22.6027
  iter   9100 | train 3.2534 | val 3.2633 | lr 5.93e-04 | 123872 tok/s | hard=66.7% soft=62.9% temp=2.6 sp=22.6382
  iter   9200 | train 3.2713 | val 3.2524 | lr 5.93e-04 | 123876 tok/s | hard=66.7% soft=62.9% temp=2.7 sp=22.5966
  iter   9300 | train 3.2511 | val 3.2703 | lr 5.93e-04 | 123875 tok/s | hard=66.7% soft=62.9% temp=2.7 sp=22.6193
  iter   9400 | train 3.2623 | val 3.2555 | lr 5.92e-04 | 123881 tok/s | hard=66.7% soft=63.0% temp=2.7 sp=22.6252
  iter   9500 | train 3.2399 | val 3.2548 | lr 5.92e-04 | 123888 tok/s | hard=66.7% soft=62.9% temp=2.7 sp=22.6274
  iter   9600 | train 3.2508 | val 3.2459 | lr 5.92e-04 | 123895 tok/s | hard=66.7% soft=62.9% temp=2.7 sp=22.6061
  iter   9700 | train 3.2521 | val 3.2584 | lr 5.92e-04 | 123897 tok/s | hard=66.7% soft=63.2% temp=2.7 sp=22.6380
  iter   9800 | train 3.2206 | val 3.2384 | lr 5.92e-04 | 123903 tok/s | hard=66.7% soft=63.2% temp=2.8 sp=22.6154
  iter   9900 | train 3.2415 | val 3.2446 | lr 5.91e-04 | 123901 tok/s | hard=66.7% soft=63.2% temp=2.8 sp=22.6324
  iter  10000 | train 3.2394 | val 3.2376 | lr 5.91e-04 | 123908 tok/s | hard=66.7% soft=63.2% temp=2.8 sp=22.6495
  iter  10100 | train 3.2390 | val 3.2303 | lr 5.91e-04 | 123907 tok/s | hard=66.7% soft=63.2% temp=2.8 sp=22.6415
  iter  10200 | train 3.2378 | val 3.2362 | lr 5.91e-04 | 123906 tok/s | hard=66.7% soft=63.1% temp=2.8 sp=22.6416
  iter  10300 | train 3.2324 | val 3.2270 | lr 5.90e-04 | 123912 tok/s | hard=66.7% soft=63.3% temp=2.9 sp=22.6233
  iter  10400 | train 3.2283 | val 3.2284 | lr 5.90e-04 | 123913 tok/s | hard=66.7% soft=63.3% temp=2.9 sp=22.6381
  iter  10500 | train 3.2262 | val 3.2307 | lr 5.90e-04 | 123919 tok/s | hard=66.7% soft=63.3% temp=2.9 sp=22.6679
  iter  10600 | train 3.2215 | val 3.2340 | lr 5.90e-04 | 123924 tok/s | hard=66.7% soft=63.5% temp=2.9 sp=22.6620
  iter  10700 | train 3.2187 | val 3.2333 | lr 5.90e-04 | 123929 tok/s | hard=66.7% soft=63.7% temp=2.9 sp=22.6839
  iter  10800 | train 3.2249 | val 3.2437 | lr 5.89e-04 | 123935 tok/s | hard=66.7% soft=63.8% temp=2.9 sp=22.7151
  iter  10900 | train 3.2378 | val 3.2316 | lr 5.89e-04 | 123940 tok/s | hard=66.7% soft=63.6% temp=3.0 sp=22.7016
  iter  11000 | train 3.2304 | val 3.2143 | lr 5.89e-04 | 123944 tok/s | hard=66.7% soft=63.5% temp=3.0 sp=22.7101
  iter  11100 | train 3.2165 | val 3.2184 | lr 5.89e-04 | 123943 tok/s | hard=66.7% soft=63.7% temp=3.0 sp=22.7194
  iter  11200 | train 3.2107 | val 3.2304 | lr 5.88e-04 | 123946 tok/s | hard=66.7% soft=63.7% temp=3.0 sp=22.7385
  iter  11300 | train 3.2224 | val 3.2263 | lr 5.88e-04 | 123951 tok/s | hard=66.7% soft=63.9% temp=3.0 sp=22.7399
  iter  11400 | train 3.2221 | val 3.2234 | lr 5.88e-04 | 123957 tok/s | hard=66.7% soft=63.8% temp=3.1 sp=22.7513
  iter  11500 | train 3.2115 | val 3.2173 | lr 5.88e-04 | 123963 tok/s | hard=66.7% soft=64.0% temp=3.1 sp=22.7776
  iter  11600 | train 3.2202 | val 3.2210 | lr 5.87e-04 | 123968 tok/s | hard=66.7% soft=63.9% temp=3.1 sp=22.7658
  iter  11700 | train 3.2288 | val 3.2303 | lr 5.87e-04 | 123973 tok/s | hard=66.7% soft=64.0% temp=3.1 sp=22.8024
  iter  11800 | train 3.2039 | val 3.2037 | lr 5.87e-04 | 123978 tok/s | hard=66.7% soft=64.0% temp=3.1 sp=22.7930
  iter  11900 | train 3.2105 | val 3.2279 | lr 5.87e-04 | 123978 tok/s | hard=66.7% soft=64.1% temp=3.1 sp=22.7849
  iter  12000 | train 3.1959 | val 3.2135 | lr 5.86e-04 | 123982 tok/s | hard=66.7% soft=64.1% temp=3.2 sp=22.8092
  iter  12100 | train 3.2108 | val 3.2253 | lr 5.86e-04 | 123986 tok/s | hard=66.7% soft=64.0% temp=3.2 sp=22.8177
  iter  12200 | train 3.2028 | val 3.2204 | lr 5.86e-04 | 123990 tok/s | hard=66.7% soft=64.2% temp=3.2 sp=22.8091
  iter  12300 | train 3.1955 | val 3.2196 | lr 5.85e-04 | 123994 tok/s | hard=66.7% soft=64.2% temp=3.2 sp=22.8297
  iter  12400 | train 3.2149 | val 3.2106 | lr 5.85e-04 | 123999 tok/s | hard=66.7% soft=64.4% temp=3.2 sp=22.8272
  iter  12500 | train 3.2016 | val 3.2211 | lr 5.85e-04 | 124003 tok/s | hard=66.7% soft=64.3% temp=3.2 sp=22.8578
  iter  12600 | train 3.2029 | val 3.2135 | lr 5.85e-04 | 124008 tok/s | hard=66.7% soft=64.5% temp=3.3 sp=22.8557
  iter  12700 | train 3.2204 | val 3.2095 | lr 5.84e-04 | 124012 tok/s | hard=66.7% soft=64.3% temp=3.3 sp=22.8703
  iter  12800 | train 3.2162 | val 3.2187 | lr 5.84e-04 | 124017 tok/s | hard=66.7% soft=64.4% temp=3.3 sp=22.8356
  iter  12900 | train 3.1984 | val 3.2169 | lr 5.84e-04 | 124021 tok/s | hard=66.7% soft=64.6% temp=3.3 sp=22.8682
  iter  13000 | train 3.2016 | val 3.2097 | lr 5.83e-04 | 124025 tok/s | hard=66.7% soft=64.7% temp=3.3 sp=22.8982
  iter  13100 | train 3.2052 | val 3.1807 | lr 5.83e-04 | 124029 tok/s | hard=66.7% soft=64.7% temp=3.4 sp=22.8827
  iter  13200 | train 3.1997 | val 3.2026 | lr 5.83e-04 | 124027 tok/s | hard=66.7% soft=64.8% temp=3.4 sp=22.8978
  iter  13300 | train 3.2041 | val 3.1998 | lr 5.82e-04 | 124031 tok/s | hard=66.7% soft=64.9% temp=3.4 sp=22.9027
  iter  13400 | train 3.1985 | val 3.2094 | lr 5.82e-04 | 124035 tok/s | hard=66.7% soft=64.9% temp=3.4 sp=22.9175
  iter  13500 | train 3.1802 | val 3.2037 | lr 5.82e-04 | 124039 tok/s | hard=66.7% soft=64.9% temp=3.4 sp=22.9081
  iter  13600 | train 3.2092 | val 3.1808 | lr 5.82e-04 | 124043 tok/s | hard=66.7% soft=65.0% temp=3.4 sp=22.9078
  iter  13700 | train 3.2012 | val 3.1757 | lr 5.81e-04 | 124047 tok/s | hard=66.7% soft=65.0% temp=3.5 sp=22.9125
  iter  13800 | train 3.1857 | val 3.1954 | lr 5.81e-04 | 124044 tok/s | hard=66.7% soft=65.1% temp=3.5 sp=22.9246
  iter  13900 | train 3.1895 | val 3.1935 | lr 5.81e-04 | 124047 tok/s | hard=66.7% soft=65.2% temp=3.5 sp=22.9267
  iter  14000 | train 3.1815 | val 3.1867 | lr 5.80e-04 | 124050 tok/s | hard=66.7% soft=65.1% temp=3.5 sp=22.9293
  iter  14100 | train 3.1850 | val 3.2009 | lr 5.80e-04 | 124053 tok/s | hard=66.7% soft=65.1% temp=3.5 sp=22.9263
  iter  14200 | train 3.1778 | val 3.1968 | lr 5.80e-04 | 124057 tok/s | hard=66.7% soft=65.1% temp=3.6 sp=22.9498
  iter  14300 | train 3.1906 | val 3.1878 | lr 5.79e-04 | 124059 tok/s | hard=66.7% soft=65.6% temp=3.6 sp=22.9420
  iter  14400 | train 3.1922 | val 3.1918 | lr 5.79e-04 | 124062 tok/s | hard=66.7% soft=65.3% temp=3.6 sp=22.9795
  iter  14500 | train 3.1804 | val 3.1970 | lr 5.79e-04 | 124064 tok/s | hard=66.7% soft=65.4% temp=3.6 sp=22.9930
  iter  14600 | train 3.1815 | val 3.1912 | lr 5.78e-04 | 124066 tok/s | hard=66.7% soft=65.3% temp=3.6 sp=22.9782
  iter  14700 | train 3.1801 | val 3.1811 | lr 5.78e-04 | 124068 tok/s | hard=66.7% soft=65.6% temp=3.6 sp=23.0099
  iter  14800 | train 3.1887 | val 3.2009 | lr 5.78e-04 | 124070 tok/s | hard=66.7% soft=65.5% temp=3.7 sp=23.0323
  iter  14900 | train 3.1913 | val 3.1846 | lr 5.77e-04 | 124074 tok/s | hard=66.7% soft=65.6% temp=3.7 sp=23.0010
  iter  15000 | train 3.1867 | val 3.1867 | lr 5.77e-04 | 124077 tok/s | hard=66.7% soft=65.7% temp=3.7 sp=23.0211
  iter  15100 | train 3.1804 | val 3.1657 | lr 5.77e-04 | 124081 tok/s | hard=66.7% soft=65.7% temp=3.7 sp=23.0346
  iter  15200 | train 3.1839 | val 3.1907 | lr 5.76e-04 | 124078 tok/s | hard=66.7% soft=65.8% temp=3.7 sp=23.0253
  iter  15300 | train 3.1798 | val 3.1840 | lr 5.76e-04 | 124081 tok/s | hard=66.7% soft=65.8% temp=3.8 sp=23.0401
  iter  15400 | train 3.1868 | val 3.1978 | lr 5.75e-04 | 124084 tok/s | hard=66.7% soft=65.9% temp=3.8 sp=23.0520
  iter  15500 | train 3.1798 | val 3.1827 | lr 5.75e-04 | 124087 tok/s | hard=66.7% soft=65.9% temp=3.8 sp=23.0662
  iter  15600 | train 3.1822 | val 3.1821 | lr 5.75e-04 | 124090 tok/s | hard=66.7% soft=65.9% temp=3.8 sp=23.0647
  iter  15700 | train 3.1636 | val 3.1684 | lr 5.74e-04 | 124093 tok/s | hard=66.7% soft=66.0% temp=3.8 sp=23.0960
  iter  15800 | train 3.1644 | val 3.1808 | lr 5.74e-04 | 124096 tok/s | hard=66.7% soft=66.1% temp=3.8 sp=23.1147
  iter  15900 | train 3.1500 | val 3.1848 | lr 5.74e-04 | 124098 tok/s | hard=66.7% soft=66.1% temp=3.9 sp=23.0943
  iter  16000 | train 3.1716 | val 3.1809 | lr 5.73e-04 | 124100 tok/s | hard=66.7% soft=66.3% temp=3.9 sp=23.1148
  iter  16100 | train 3.1675 | val 3.1639 | lr 5.73e-04 | 124104 tok/s | hard=66.7% soft=66.4% temp=3.9 sp=23.1364
  iter  16200 | train 3.1722 | val 3.1732 | lr 5.73e-04 | 124102 tok/s | hard=66.7% soft=66.5% temp=3.9 sp=23.0909
  iter  16300 | train 3.1675 | val 3.1679 | lr 5.72e-04 | 124106 tok/s | hard=66.7% soft=66.5% temp=3.9 sp=23.1015
  iter  16400 | train 3.1617 | val 3.1656 | lr 5.72e-04 | 124109 tok/s | hard=66.7% soft=66.4% temp=4.0 sp=23.1362
  iter  16500 | train 3.1659 | val 3.1799 | lr 5.71e-04 | 124112 tok/s | hard=66.7% soft=66.5% temp=4.0 sp=23.1333
  iter  16600 | train 3.1789 | val 3.1662 | lr 5.71e-04 | 124114 tok/s | hard=66.7% soft=66.4% temp=4.0 sp=23.1260
  iter  16700 | train 3.1591 | val 3.1631 | lr 5.71e-04 | 124115 tok/s | hard=66.7% soft=66.5% temp=4.0 sp=23.1365
  iter  16800 | train 3.1723 | val 3.1753 | lr 5.70e-04 | 124114 tok/s | hard=66.7% soft=66.6% temp=4.0 sp=23.1337
  iter  16900 | train 3.1722 | val 3.1812 | lr 5.70e-04 | 124116 tok/s | hard=66.7% soft=66.8% temp=4.0 sp=23.1578
  iter  17000 | train 3.1743 | val 3.1744 | lr 5.69e-04 | 124118 tok/s | hard=66.7% soft=66.8% temp=4.1 sp=23.1805
