============================================================
  RUNG 5: GPT-2 WITH GENOME-CONTROLLED CONNECTIVITY
  354 parameters grow GPT-2.
============================================================
  Config: full
  Device: cuda
  Dtype: bfloat16
  Layers: 12, Hidden: 768, FF: 3072
  Block size: 1024, Batch: 12
  Grad accum: 40
  Tokens/iter: 491,520
  Max iters: 100,000
  Dataset: openwebtext

============================================================
  Training: genome
============================================================
  Genome params: 354
  Total params: 124,430,946
  Compiling model with torch.compile...
  Resuming from iter 30300...
  iter  30300 | train 3.1061 | val 3.1119 | lr 4.96e-04 | 9307 tok/s | hard=70.3% soft=71.9% temp=6.5
  iter  30400 | train 3.1075 | val 3.0979 | lr 4.96e-04 | 98628 tok/s | hard=70.4% soft=71.8% temp=6.5 sp=23.0552
  iter  30500 | train 3.0864 | val 3.1080 | lr 4.95e-04 | 109446 tok/s | hard=70.4% soft=71.8% temp=6.5 sp=23.0732
  iter  30600 | train 3.0983 | val 3.1119 | lr 4.94e-04 | 113557 tok/s | hard=70.4% soft=71.9% temp=6.5 sp=23.0470
  iter  30700 | train 3.0908 | val 3.1145 | lr 4.94e-04 | 115856 tok/s | hard=70.5% soft=71.9% temp=6.5 sp=23.0674
  iter  30800 | train 3.0984 | val 3.1108 | lr 4.93e-04 | 117218 tok/s | hard=70.5% soft=72.0% temp=6.5 sp=23.0678
  iter  30900 | train 3.1138 | val 3.0993 | lr 4.92e-04 | 118191 tok/s | hard=70.5% soft=71.9% temp=6.6 sp=23.0923
  iter  31000 | train 3.0959 | val 3.1122 | lr 4.91e-04 | 118886 tok/s | hard=70.6% soft=72.1% temp=6.6 sp=23.0499
  iter  31100 | train 3.0886 | val 3.1089 | lr 4.91e-04 | 119413 tok/s | hard=70.6% soft=72.1% temp=6.6 sp=23.0668
  iter  31200 | train 3.0825 | val 3.1173 | lr 4.90e-04 | 119840 tok/s | hard=70.6% soft=72.0% temp=6.6 sp=23.0625
  iter  31300 | train 3.0859 | val 3.1121 | lr 4.89e-04 | 120175 tok/s | hard=70.6% soft=72.1% temp=6.6 sp=23.0679
  iter  31400 | train 3.0881 | val 3.1114 | lr 4.89e-04 | 120474 tok/s | hard=70.6% soft=72.1% temp=6.7 sp=23.0754
  iter  31500 | train 3.1078 | val 3.1048 | lr 4.88e-04 | 120678 tok/s | hard=70.7% soft=72.1% temp=6.7 sp=23.0694
  iter  31600 | train 3.1087 | val 3.1052 | lr 4.87e-04 | 120865 tok/s | hard=70.7% soft=72.2% temp=6.7 sp=23.0841
